arm,label,unit,scheme,n_bins,ece,ci_lo,ci_hi,n_boot,n_items,n_groups,seed_ece_min,seed_ece_max,seed_ece_spread,n_seeds,null_lo,null_hi,inside_null_band,point_below_ci_lo,n_bins_occupied,bin_count_min,bin_count_max,mean_predicted,observed_rate
R1_prevalence,deterioration_icu_24h,record,equal_width,15,0.004217230196308208,0.0002234195170922663,0.014561576813709752,10000,6407,3626,0.004217230196308208,0.004217230196308208,0.0,5,0.00015901423042911228,0.009839832085899692,True,False,1,6407,6407,0.12173875544439178,0.12595598564070548
R1_prevalence,deterioration_icu_24h,record,equal_mass,15,0.004217230196308208,0.0002234195170922663,0.014561576813709752,10000,6407,3626,0.004217230196308208,0.004217230196308208,0.0,5,0.00015901423042911228,0.009839832085899692,True,False,1,6407,6407,0.12173875544439178,0.12595598564070548
R1_prevalence,deterioration_mortality_28d,record,equal_width,15,0.0021610256278640078,0.00011320804988463469,0.008270072677612176,10000,6428,3636,0.0021610256278640078,0.0021610256278640078,0.0,5,0.0001386236365758936,0.005464916132682897,True,False,1,6428,6428,0.03999827742129969,0.04215930304915993
R1_prevalence,deterioration_mortality_28d,record,equal_mass,15,0.0021610256278640078,0.00011320804988463469,0.008270072677612176,10000,6428,3636,0.0021610256278640078,0.0021610256278640078,0.0,5,0.0001386236365758936,0.005464916132682897,True,False,1,6428,6428,0.03999827742129969,0.04215930304915993
R1_prevalence,deterioration_mortality_365d,record,equal_width,15,0.004523001798638487,0.0002688361712338272,0.01856487364574623,10000,6428,3636,0.004523001798638487,0.004523001798638487,0.0,5,0.00016648456496044312,0.009345652700940899,True,False,1,6428,6428,0.13797855389518116,0.14250155569383946
R1_prevalence,deterioration_mortality_365d,record,equal_mass,15,0.004523001798638487,0.0002688361712338272,0.01856487364574623,10000,6428,3636,0.004523001798638487,0.004523001798638487,0.0,5,0.00016648456496044312,0.009345652700940899,True,False,1,6428,6428,0.13797855389518116,0.14250155569383946
R2_demo,deterioration_icu_24h,record,equal_width,15,0.008242196544516479,0.0024335292695427573,0.01874189640527409,10000,6407,3626,0.003941342743570445,0.013663983457404992,0.009722640713834546,5,0.0010235396199936163,0.010847832096991817,True,False,3,105,4030,0.12178141954500975,0.12595598564070548
R2_demo,deterioration_icu_24h,record,equal_mass,15,0.01557425972369225,0.014680511256130353,0.029511146663858307,10000,6407,3626,0.010639577169812672,0.031421371669736964,0.020781794499924292,5,0.007950816797587437,0.017904174016647484,True,False,15,397,464,0.12178141954500975,0.12595598564070548
R2_demo,deterioration_mortality_28d,record,equal_width,15,0.0022768424279148813,0.0005703208792909428,0.00842099904778022,10000,6428,3636,0.0022319368849745697,0.002379684431040577,0.00014774754606600724,5,0.00021902890777700045,0.005512108166699573,True,False,2,64,6364,0.03988246062124525,0.04215930304915993
R2_demo,deterioration_mortality_28d,record,equal_mass,15,0.01684538779931875,0.015129369208432004,0.02517822731508762,10000,6428,3636,0.0072366520950510995,0.022818852942070377,0.015582200847019279,5,0.004867141894489602,0.010945149876039038,False,False,15,367,504,0.03988246062124525,0.04215930304915993
