arm,label,unit,quantity,estimate,ci_lo,ci_hi,n_boot,n_items,n_groups
R4_demo_acq,deterioration_mortality_365d,record,calibration_slope,2.4655842608328116,-3843467509.889173,4190496559.616295,10000,6428,3636
R4_demo_acq,deterioration_mortality_365d,record,brier,0.10929643718584425,0.10079490785452887,0.11804012982852945,10000,6428,3636
R5_tabular,deterioration_icu_24h,record,calibration_intercept,0.08954282518215025,-0.02563996160602854,0.19982498790647332,10000,6407,3626
R5_tabular,deterioration_icu_24h,record,calibration_slope,1.0157179775699847,0.9555508114739667,1.0837107517736762,10000,6407,3626
R5_tabular,deterioration_icu_24h,record,brier,0.06183242752387637,0.056408413993639044,0.06748589957494969,10000,6407,3626
R5_tabular,deterioration_mortality_28d,record,calibration_intercept,0.08711085765603237,-0.0649784865912866,0.23144839407482157,10000,6428,3636
R5_tabular,deterioration_mortality_28d,record,calibration_slope,1.1437409224751103,1.0374209013454143,1.2633709428417033,10000,6428,3636
R5_tabular,deterioration_mortality_28d,record,brier,0.03040866259294986,0.02657602802338794,0.03446780831790591,10000,6428,3636
R5_tabular,deterioration_mortality_365d,record,calibration_intercept,0.0879014678508219,-0.029722513811653802,0.20076183865719185,10000,6428,3636
R5_tabular,deterioration_mortality_365d,record,calibration_slope,1.1198825909391779,1.0346602376143845,1.2118566663174581,10000,6428,3636
R5_tabular,deterioration_mortality_365d,record,brier,0.09092943790808526,0.08358711896914808,0.09854952664022835,10000,6428,3636
R6_waveform,deterioration_icu_24h,record,calibration_intercept,-0.8817802751098419,-0.9736615463088214,-0.796317147778714,10000,6407,3626
R6_waveform,deterioration_icu_24h,record,calibration_slope,2.4716764351832117,2.2687101379880796,2.6854391650889933,10000,6407,3626
R6_waveform,deterioration_icu_24h,record,brier,0.10796353007798803,0.10368576111107176,0.11225608398626986,10000,6407,3626
R6_waveform,deterioration_mortality_28d,record,calibration_intercept,-1.4893719110326535,-1.6352009384230979,-1.352335942256794,10000,6428,3636
R6_waveform,deterioration_mortality_28d,record,calibration_slope,2.166357709417648,1.8980956841362187,2.4733493695211366,10000,6428,3636
R6_waveform,deterioration_mortality_28d,record,brier,0.050773132298758995,0.04746176761826289,0.05415897178796303,10000,6428,3636
R6_waveform,deterioration_mortality_365d,record,calibration_intercept,-0.7739418024540481,-0.8837855020250727,-0.6697531374502161,10000,6428,3636
R6_waveform,deterioration_mortality_365d,record,calibration_slope,2.2933832591853833,2.070689489344951,2.533943636919152,10000,6428,3636
R6_waveform,deterioration_mortality_365d,record,brier,0.11321336918906083,0.10804443148520781,0.11847564933453665,10000,6428,3636
R7_waveform_demo_acq,deterioration_icu_24h,record,calibration_intercept,-0.8566023793053932,-0.9451728055126473,-0.7739492548007255,10000,6407,3626
R7_waveform_demo_acq,deterioration_icu_24h,record,calibration_slope,2.443793694329,2.2695322553068915,2.6315075102668364,10000,6407,3626
R7_waveform_demo_acq,deterioration_icu_24h,record,brier,0.09972836289112032,0.09549782040497642,0.10406666063987507,10000,6407,3626
R7_waveform_demo_acq,deterioration_mortality_28d,record,calibration_intercept,-1.4655844037152104,-1.610525448992081,-1.3307871224568577,10000,6428,3636
R7_waveform_demo_acq,deterioration_mortality_28d,record,calibration_slope,2.424246228018041,2.150301663511507,2.740419237691963,10000,6428,3636
R7_waveform_demo_acq,deterioration_mortality_28d,record,brier,0.048551530242275286,0.045298367695053715,0.05187311432386161,10000,6428,3636
R7_waveform_demo_acq,deterioration_mortality_365d,record,calibration_intercept,-0.806956192810257,-0.9132664907955619,-0.7023873745575344,10000,6428,3636
R7_waveform_demo_acq,deterioration_mortality_365d,record,calibration_slope,2.6154745730217797,2.384456083649172,2.8700632745695693,10000,6428,3636
R7_waveform_demo_acq,deterioration_mortality_365d,record,brier,0.11145017476637624,0.1065990756944409,0.11642323590722445,10000,6428,3636
