arm,label,unit,threshold,net_benefit,net_benefit_treat_all,net_benefit_treat_none,flagged_fraction,prevalence,n_items,n_groups
R1_prevalence,deterioration_icu_24h,record,0.44,0.0,-0.5607928827844544,0.0,0.0,0.12595598564070548,6407,3626
R1_prevalence,deterioration_icu_24h,record,0.45,0.0,-0.5891709351987171,0.0,0.0,0.12595598564070548,6407,3626
R1_prevalence,deterioration_icu_24h,record,0.46,0.0,-0.6186000265912861,0.0,0.0,0.12595598564070548,6407,3626
R1_prevalence,deterioration_icu_24h,record,0.47,0.0,-0.6491396497345179,0.0,0.0,0.12595598564070548,6407,3626
R1_prevalence,deterioration_icu_24h,record,0.48,0.0,-0.680853873767874,0.0,0.0,0.12595598564070548,6407,3626
R1_prevalence,deterioration_icu_24h,record,0.49,0.0,-0.7138117928613616,0.0,0.0,0.12595598564070548,6407,3626
R1_prevalence,deterioration_icu_24h,record,0.5,0.0,-0.7480880287185889,0.0,0.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.01,0.11712725822293482,0.11712725822293484,0.0,1.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.02,0.10811835269459742,0.10811835269459744,0.0,1.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.03,0.09892369653680977,0.09892369653680977,0.0,1.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.04,0.08953748504240153,0.08953748504240154,0.0,1.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.05,0.07995366909547945,0.07995366909547946,0.0,1.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.06,0.07016594217096328,0.07016594217096328,0.0,1.0,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.07,0.06087931378817857,0.060167726495382226,0.0,0.9637896051194007,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.08,0.053087316182707775,0.049952158305114666,0.0,0.9015139690963009,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.09,0.04373478870123165,0.03951207213264339,0.0,0.8411112845325426,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.1,0.035083155576366126,0.028839984045228306,0.0,0.7986577181208053,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.11,0.02707361856677125,0.01792807375360167,0.0,0.7089121273606992,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.12,0.02235481078933553,0.006768165500801698,0.0,0.5397221788668644,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.13,0.01627889036596107,-0.004648292367005202,0.0,0.4217262369283596,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.14,0.00980032740353029,-0.01633024925499363,0.0,0.25753082565943497,0.12595598564070548,6407,3626
R2_demo,deterioration_icu_24h,record,0.15,0.006702228261368539,-0.028287075716817073,0.0,0.14203215233338537,0.12595598564070548,6407,3626
