arm,label,unit,threshold,net_benefit,ci_lo,ci_hi,n_boot,net_benefit_treat_all,net_benefit_treat_none,vs_treat_all,vs_treat_all_lo,vs_treat_all_hi,beats_treat_all,beats_treat_none,flagged_fraction,prevalence,mean_predicted,seed_nb_min,seed_nb_max,seed_nb_spread,n_seeds,n_items,n_groups
R1_prevalence,deterioration_icu_24h,record,0.1,0.028839984045228306,0.017448662124549638,0.0403326005739267,10000,0.028839984045228306,0.0,0.0,-1.3877787807814457e-17,1.3877787807814457e-17,False,True,1.0,0.12595598564070548,0.12173875544439178,0.028839984045228306,0.028839984045228306,0.0,5,6407,3626
R2_demo,deterioration_icu_24h,record,0.1,0.035083155576366126,0.024347351699633486,0.046068884045305604,10000,0.028839984045228306,0.0,0.00624317153113782,0.0022266724178821827,0.01005756365341469,True,True,0.7986577181208053,0.12595598564070548,0.12178141954500975,0.028839984045228306,0.035724814872621954,0.006884830827393648,5,6407,3626
R3_acqctx_pre,deterioration_icu_24h,record,0.1,0.06534519535924249,0.05636774615455437,0.07475449940860042,10000,0.028839984045228306,0.0,0.036505211314014185,0.031712813431277985,0.04112354196828278,True,True,0.4076791009832995,0.12595598564070548,0.12260156966759553,0.0637323760470319,0.06570938036522553,0.0019770043181936287,5,6407,3626
R3b_acqctx_window,deterioration_icu_24h,record,0.1,0.06622964465948701,0.05704571075247791,0.07585691110530492,10000,0.028839984045228306,0.0,0.037389660614258705,0.0327205238777137,0.042029827986604616,True,True,0.41220540034337444,0.12595598564070548,0.1216704167128499,0.0459393371832891,0.06674990895374851,0.020810571770459405,5,6407,3626
R4_demo_acq,deterioration_icu_24h,record,0.1,0.06711409395973154,0.05801154938438685,0.0766296111832741,10000,0.028839984045228306,0.0,0.03827410991450324,0.03336612471620563,0.04297401350561689,True,True,0.39019822069611365,0.12595598564070548,0.12193463100865423,0.06557064322008913,0.06839741255224321,0.0028267693321540888,5,6407,3626
R5_tabular,deterioration_icu_24h,record,0.1,0.08972824861696409,0.08023722508397137,0.09933695759093751,10000,0.028839984045228306,0.0,0.06088826457173578,0.05600391455801822,0.06544523562444342,True,True,0.23973778679569221,0.12595598564070548,0.12055904293104396,0.0888958257461457,0.0906126979172086,0.0017168721710629081,5,6407,3626
R6_waveform,deterioration_icu_24h,record,0.1,0.03338362554844526,0.0220088630142827,0.04489630007948671,10000,0.028839984045228306,0.0,0.004543641503216955,0.0038156990266337587,0.005283311823942235,True,True,0.9575464335882629,0.12595598564070548,0.2502276159748516,0.03142396337339366,0.03546468272549122,0.004040719352097558,5,6407,3626
R7_waveform_demo_acq,deterioration_icu_24h,record,0.1,0.036695974888576705,0.025447596638488335,0.04816624940219692,10000,0.028839984045228306,0.0,0.007855990843348398,0.0069033793452815805,0.008828215078799186,True,True,0.9277352895270797,0.12595598564070548,0.24263559424563888,0.032932729826751966,0.041413037823214205,0.008480307996462239,5,6407,3626
