estimate,ci_lo,ci_hi,p_value,n_boot,n_groups,n_finite_replicates,arm,label,unit,quantity,question,declared_arm,n_items,exploratory,comparison
-0.0011603306164874594,-0.0046944721470528385,0.0023559895844600027,0.5328,10000,3636,10000,R3_acqctx_pre - R3s_acqctx_shared,deterioration_mortality_365d,record,paired_difference,shared_configuration,R3_acqctx_pre,6428,True,exploratory_sensitivities
0.8103890069038768,0.7938967975346525,0.8264599754613465,0.0,10000,3626,10000,R4s_demo_acq_shared,deterioration_icu_24h,record,auroc,shared_configuration,R4_demo_acq,6407,True,exploratory_sensitivities
0.9781574064195175,0.9190201882080447,1.040681458263318,0.0,10000,3626,10000,R4s_demo_acq_shared,deterioration_icu_24h,record,recovery_ratio,shared_configuration,R4_demo_acq,6407,True,exploratory_sensitivities
0.8093587360594795,0.7927995163813679,0.8254558772702772,0.0,10000,3626,10000,R4_demo_acq,deterioration_icu_24h,record,auroc,shared_configuration,R4_demo_acq,6407,True,exploratory_sensitivities
0.9749106192116914,0.9154754446133734,1.037608594951538,0.0,10000,3626,10000,R4_demo_acq,deterioration_icu_24h,record,recovery_ratio,shared_configuration,R4_demo_acq,6407,True,exploratory_sensitivities
-0.0010302708443973296,-0.002368423980986156,0.00027541552415969166,0.1238,10000,3626,10000,R4_demo_acq - R4s_demo_acq_shared,deterioration_icu_24h,record,paired_difference,shared_configuration,R4_demo_acq,6407,True,exploratory_sensitivities
0.8087575597211226,0.77997720443686,0.8356682914460859,0.0,10000,3636,10000,R4s_demo_acq_shared,deterioration_mortality_28d,record,auroc,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.8889779479582512,0.8069146655882556,0.9712958605545172,0.0,10000,3636,10000,R4s_demo_acq_shared,deterioration_mortality_28d,record,recovery_ratio,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.8101851491147687,0.7818403287210419,0.8370784712357014,0.0,10000,3636,10000,R4_demo_acq,deterioration_mortality_28d,record,auroc,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.8930882780529596,0.8095217460019601,0.9768514704429525,0.0,10000,3636,10000,R4_demo_acq,deterioration_mortality_28d,record,recovery_ratio,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.001427589393646067,-0.0019980617439082525,0.004856391577199803,0.414,10000,3636,10000,R4_demo_acq - R4s_demo_acq_shared,deterioration_mortality_28d,record,paired_difference,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.8037269617381053,0.7827696039839459,0.8233075971906466,0.0,10000,3636,10000,R4s_demo_acq_shared,deterioration_mortality_365d,record,auroc,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.9220024241782925,0.8552899497793659,0.9878519065955638,0.0,10000,3636,10000,R4s_demo_acq_shared,deterioration_mortality_365d,record,recovery_ratio,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.8032795456994188,0.7831604098018676,0.8220566172014621,0.0,10000,3636,10000,R4_demo_acq,deterioration_mortality_365d,record,auroc,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
0.9206442350009981,0.8567543809917325,0.9848751877758072,0.0,10000,3636,10000,R4_demo_acq,deterioration_mortality_365d,record,recovery_ratio,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
-0.0004474160386864767,-0.003649859241659381,0.003190144076715728,0.743,10000,3636,10000,R4_demo_acq - R4s_demo_acq_shared,deterioration_mortality_365d,record,paired_difference,shared_configuration,R4_demo_acq,6428,True,exploratory_sensitivities
