table,row_key,column,text,value,format,source_file,source_key,source_column,aggregate,unit
T1,R4_demo_acq,deterioration_icu_24h,0.7928,0.7927995163813679,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_icu_24h,ci_lo,,record
T1,R4_demo_acq,deterioration_icu_24h,0.8255,0.8254558772702772,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_icu_24h,ci_hi,,record
T1,R4_demo_acq,deterioration_mortality_28d,0.8102,0.8101851491147687,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_28d,auroc,,record
T1,R4_demo_acq,deterioration_mortality_28d,0.7818,0.7818403287210419,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_28d,ci_lo,,record
T1,R4_demo_acq,deterioration_mortality_28d,0.8371,0.8370784712357014,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_28d,ci_hi,,record
T1,R4_demo_acq,deterioration_mortality_365d,0.8033,0.8032795456994188,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_365d,auroc,,record
T1,R4_demo_acq,deterioration_mortality_365d,0.7832,0.7831604098018676,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_365d,ci_lo,,record
T1,R4_demo_acq,deterioration_mortality_365d,0.8221,0.8220566172014621,.4f,results/p3_arms.csv,arm=R4_demo_acq;label=deterioration_mortality_365d,ci_hi,,record
T1,R5_tabular,deterioration_icu_24h,0.9164,0.9163855328376704,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_icu_24h,auroc,,record
T1,R5_tabular,deterioration_icu_24h,0.9046,0.9046447741488828,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_icu_24h,ci_lo,,record
T1,R5_tabular,deterioration_icu_24h,0.9278,0.9278321751205216,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_icu_24h,ci_hi,,record
T1,R5_tabular,deterioration_mortality_28d,0.9102,0.9102110998371638,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_28d,auroc,,record
T1,R5_tabular,deterioration_mortality_28d,0.8884,0.8883743835947363,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_28d,ci_lo,,record
T1,R5_tabular,deterioration_mortality_28d,0.9294,0.929405966566392,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_28d,ci_hi,,record
T1,R5_tabular,deterioration_mortality_365d,0.8533,0.8533416174951357,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_365d,auroc,,record
T1,R5_tabular,deterioration_mortality_365d,0.8371,0.8371400402141621,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_365d,ci_lo,,record
T1,R5_tabular,deterioration_mortality_365d,0.8689,0.8689124101877406,.4f,results/p3_arms.csv,arm=R5_tabular;label=deterioration_mortality_365d,ci_hi,,record
T1,R6_waveform,deterioration_icu_24h,0.8173,0.8173201009028147,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_icu_24h,auroc,,record
T1,R6_waveform,deterioration_icu_24h,0.7995,0.799495588148914,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_icu_24h,ci_lo,,record
T1,R6_waveform,deterioration_icu_24h,0.8342,0.8342443443318549,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_icu_24h,ci_hi,,record
T1,R6_waveform,deterioration_mortality_28d,0.8473,0.847317456445638,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_mortality_28d,auroc,,record
T1,R6_waveform,deterioration_mortality_28d,0.8222,0.8221987097301903,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_mortality_28d,ci_lo,,record
T1,R6_waveform,deterioration_mortality_28d,0.8714,0.8714269157356319,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_mortality_28d,ci_hi,,record
T1,R6_waveform,deterioration_mortality_365d,0.8294,0.8294210012612419,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_mortality_365d,auroc,,record
T1,R6_waveform,deterioration_mortality_365d,0.8109,0.8109116866316213,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_mortality_365d,ci_lo,,record
T1,R6_waveform,deterioration_mortality_365d,0.8474,0.8473626044749081,.4f,results/p3_arms.csv,arm=R6_waveform;label=deterioration_mortality_365d,ci_hi,,record
T1,R7_waveform_demo_acq,deterioration_icu_24h,0.8571,0.8570939546822447,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_icu_24h,auroc,,record
T1,R7_waveform_demo_acq,deterioration_icu_24h,0.8424,0.8423950582536511,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_icu_24h,ci_lo,,record
T1,R7_waveform_demo_acq,deterioration_icu_24h,0.8713,0.8713341074705403,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_icu_24h,ci_hi,,record
T1,R7_waveform_demo_acq,deterioration_mortality_28d,0.8723,0.8723266410835295,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_mortality_28d,auroc,,record
T1,R7_waveform_demo_acq,deterioration_mortality_28d,0.8485,0.8484509074081512,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_mortality_28d,ci_lo,,record
T1,R7_waveform_demo_acq,deterioration_mortality_28d,0.8947,0.8947280857655693,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_mortality_28d,ci_hi,,record
T1,R7_waveform_demo_acq,deterioration_mortality_365d,0.8533,0.8533051745774206,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_mortality_365d,auroc,,record
T1,R7_waveform_demo_acq,deterioration_mortality_365d,0.8365,0.8364689843692841,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_mortality_365d,ci_lo,,record
T1,R7_waveform_demo_acq,deterioration_mortality_365d,0.8693,0.8692772101044612,.4f,results/p3_arms.csv,arm=R7_waveform_demo_acq;label=deterioration_mortality_365d,ci_hi,,record
T1,meta|deterioration_icu_24h,n_ecgs,6407,6407.0,.0f,results/p3_arms.csv,arm=R2_demo;label=deterioration_icu_24h,n_items,,record
T1,meta|deterioration_icu_24h,n_patients,3626,3626.0,.0f,results/p3_arms.csv,arm=R2_demo;label=deterioration_icu_24h,n_groups,,record
T1,meta|deterioration_icu_24h,prevalence,0.1260,0.1259559856407054,.4f,results/p3_arms.csv,arm=R2_demo;label=deterioration_icu_24h,prevalence,,record
T1,meta|deterioration_mortality_28d,n_ecgs,6428,6428.0,.0f,results/p3_arms.csv,arm=R2_demo;label=deterioration_mortality_28d,n_items,,record
