run_id,arm,seed,unit,macro,macro_lo,macro_hi,n_items,n_groups,n_boot,n_targets_scored
0621cb0719197e5d,R7_waveform_demo_acq,4,crop,0.8819726289130354,0.8693237900051963,0.8953563366799351,25756,3644,10000,15
0621cb0719197e5d,R7_waveform_demo_acq,4,record,0.8860702558463297,0.873372339540009,0.8992373431429184,6439,3644,10000,15
137a83368b14293b,R6_waveform,0,crop,0.8515460816174998,0.8357897137036345,0.8653177906586147,25756,3644,10000,15
137a83368b14293b,R6_waveform,0,record,0.8591312595149465,0.843483618595643,0.872855008927739,6439,3644,10000,15
191f79ec470c2743,R7_waveform_demo_acq,2,crop,0.878332282260942,0.8626172181600119,0.8954990942288572,25756,3644,10000,15
191f79ec470c2743,R7_waveform_demo_acq,2,record,0.881825831120669,0.8660988479332791,0.8989159414490884,6439,3644,10000,15
2afeb975805d2e76,R6_waveform,2,crop,0.842830142126712,0.8239848754504432,0.8589516059341872,25756,3644,10000,15
2afeb975805d2e76,R6_waveform,2,record,0.8489117493885655,0.8302531362401071,0.8649576140067571,6439,3644,10000,15
66ee7b3a83252c43,R7_waveform_demo_acq,0,crop,0.8786461180157228,0.8634744366441147,0.8948147762976466,25756,3644,10000,15
66ee7b3a83252c43,R7_waveform_demo_acq,0,record,0.8820023343127856,0.8668143146966022,0.8981670309196683,6439,3644,10000,15
746ce85b4ac8762f,R7_waveform_demo_acq,3,crop,0.8792904534174565,0.8654405844789247,0.8941946746358481,25756,3644,10000,15
746ce85b4ac8762f,R7_waveform_demo_acq,3,record,0.8829227815645025,0.8691027621578576,0.8976342032255976,6439,3644,10000,15
7c50552393f79819,R7_waveform_demo_acq,1,crop,0.8804401368791972,0.8669386418661653,0.895071932923901,25756,3644,10000,15
7c50552393f79819,R7_waveform_demo_acq,1,record,0.8839438830803819,0.8704344136959453,0.8986161838193285,6439,3644,10000,15
b5b1ae9981e7d098,R6_waveform,3,crop,0.8476516523333639,0.8317207607292126,0.8615224269514438,25756,3644,10000,15
b5b1ae9981e7d098,R6_waveform,3,record,0.8548091183359013,0.8386716583186187,0.8688708876570929,6439,3644,10000,15
d291e12493bc1715,R6_waveform,4,crop,0.8462715908385748,0.8287534300776467,0.8607831132297996,25756,3644,10000,15
d291e12493bc1715,R6_waveform,4,record,0.8531836131894076,0.8353215283293478,0.8678552506700549,6439,3644,10000,15
f264c47d85c7669f,R6_waveform,1,crop,0.848877580176924,0.833589712589445,0.8634060189987991,25756,3644,10000,15
f264c47d85c7669f,R6_waveform,1,record,0.8565300636254203,0.8414512575005411,0.8707980510091962,6439,3644,10000,15
