estimate,ci_lo,ci_hi,p_value,n_boot,n_groups,n_finite_replicates,quantity,labels,horizons,n_labels,family,unit,supported,name,role,p_holm,holm_family_size
-0.7999999999999998,-0.9999999999999998,0.19999999999999996,0.1416,10000,3636,10000,delta,"deterioration_mortality_1d,deterioration_mortality_7d,deterioration_mortality_90d,deterioration_mortality_180d","1,7,90,180",4,horizon_ladder,record,False,acq_advantage_trend,primary,0.708,6
0.19999999999999996,-0.7999999999999998,0.9999999999999998,0.5502,10000,3636,10000,ratio,"deterioration_mortality_1d,deterioration_mortality_7d,deterioration_mortality_90d,deterioration_mortality_180d","1,7,90,180",4,horizon_ladder,record,False,recovery_ratio_trend,secondary,1.0,6
-0.942857142857143,-1.0,-0.14285714285714288,0.0026,10000,3636,10000,delta,"deterioration_mortality_1d,deterioration_mortality_7d,deterioration_mortality_28d,deterioration_mortality_90d,deterioration_mortality_180d,deterioration_mortality_365d","1,7,28,90,180,365",6,horizon_ladder,record,False,acq_advantage_trend_all_six,tertiary_contains_generating_labels,,6
