arm,unit,local_macro_mean,local_macro_min,local_macro_max,seed_spread,n_seeds,local_ci_lo,local_ci_hi,anchor,anchor_role,anchor_source,published_macro,published_lo,published_hi,gap,inside_published_ci
R6_waveform,crop,0.8474354094186148,0.842830142126712,0.8515460816174998,0.00871593949078775,5,0.8307676985100765,0.8619961911545688,version_of_record,primary,"version of record, Table 2",0.8565,0.841,0.8707,-0.009064590581385201,True
R6_waveform,crop,0.8474354094186148,0.842830142126712,0.8515460816174998,0.00871593949078775,5,0.8307676985100765,0.8619961911545688,preprint_v2,secondary,"preprint arXiv:2407.17856v2, Table 2",0.8279,0.8047,0.8511,0.01953540941861487,True
R7_waveform_demo_acq,crop,0.8797363238972707,0.878332282260942,0.8819726289130354,0.0036403466520934513,5,0.8655589342308826,0.8949873629532377,version_of_record,primary,"version of record, Table 2",0.8565,0.841,0.8707,0.023236323897270705,False
R7_waveform_demo_acq,crop,0.8797363238972707,0.878332282260942,0.8819726289130354,0.0036403466520934513,5,0.8655589342308826,0.8949873629532377,preprint_v2,secondary,"preprint arXiv:2407.17856v2, Table 2",0.8279,0.8047,0.8511,0.051836323897270775,False
